Name,Food_Type,Meal_Type,Claim_Count
Christine Bell,Vegan,Lunch,3
Johnny Page,Vegetarian,Lunch,2
Mary Franklin,Vegetarian,Snacks,2
James Castaneda,Vegetarian,Breakfast,2
Alvin West,Vegetarian,Dinner,2
Thomas Johnson,Non-Vegetarian,Snacks,2
Kayla Johnson,Vegan,Snacks,2
Jason Moore,Vegetarian,Snacks,2
Rhonda King,Vegetarian,Breakfast,2
John Martin,Vegetarian,Snacks,2
Cassandra Mendoza,Vegan,Breakfast,2
Joanna Wilkins,Vegan,Breakfast,2
Walter Myers,Vegetarian,Breakfast,2
Scott Grant,Vegan,Lunch,2
Michael Johnson,Vegetarian,Snacks,2
Scott Hunter,Non-Vegetarian,Dinner,2
Jennifer Johnson,Vegetarian,Dinner,2
Kristina Simpson,Non-Vegetarian,Breakfast,2
Kristina Simpson,Vegetarian,Breakfast,2
Donna Williams,Vegetarian,Snacks,2
Kristina Vargas,Vegetarian,Breakfast,2
Eric Ramos,Non-Vegetarian,Snacks,2
Regina Munoz,Non-Vegetarian,Lunch,2
Betty Reid,Vegetarian,Dinner,2
Susan Green,Vegetarian,Dinner,2
Robert Chavez,Vegan,Dinner,2
Jane Davis,Vegan,Snacks,2
Natasha Harper,Non-Vegetarian,Snacks,2
Chelsea Powell,Non-Vegetarian,Snacks,2
Timothy Chavez,Non-Vegetarian,Breakfast,2
David Sellers DVM,Vegetarian,Snacks,2
Matthew Wright,Vegan,Snacks,2
Scott Proctor,Vegetarian,Lunch,2
Mary Lewis,Vegan,Lunch,2
Lydia Phillips,Vegetarian,Breakfast,2
Justin Lopez,Vegan,Lunch,2
Spencer Roberts,Non-Vegetarian,Snacks,2
Shannon Jensen,Non-Vegetarian,Lunch,2
Jonathon Gregory,Vegan,Dinner,2
Matthew Webb,Vegan,Snacks,2
Jose Vance,Vegetarian,Breakfast,2
Anthony Garcia,Non-Vegetarian,Lunch,2
Anthony Garcia,Vegan,Snacks,2
Jean Woods,Vegan,Breakfast,2
Michael Townsend,Vegan,Breakfast,2
Dr. Wendy Terrell,Vegan,Lunch,2
Donald Gomez,Non-Vegetarian,Breakfast,1
Donald Gomez,Vegan,Lunch,1
Laurie Ramos,Vegan,Breakfast,1
Ashley Mckee,Vegetarian,Snacks,1
Erika Rose,Vegetarian,Dinner,1
Erika Rose,Vegetarian,Snacks,1
Mandy Sutton PhD,Non-Vegetarian,Breakfast,1
Mandy Sutton PhD,Vegetarian,Dinner,1
Kenneth Baker,Vegetarian,Dinner,1
Emily Turner,Vegan,Breakfast,1
Emily Turner,Vegetarian,Lunch,1
Mary Salazar,Non-Vegetarian,Lunch,1
Mary Salazar,Vegan,Lunch,1
Jennifer Bishop,Non-Vegetarian,Dinner,1
Brian Fischer,Vegan,Breakfast,1
Brian Fischer,Vegan,Snacks,1
Donald Kelly,Non-Vegetarian,Dinner,1
Elizabeth Lewis,Vegetarian,Dinner,1
Kimberly Lindsey,Vegetarian,Lunch,1
Johnny Page,Vegan,Lunch,1
Mary Franklin,Non-Vegetarian,Lunch,1
Rose Powell,Vegan,Snacks,1
Rose Powell,Vegetarian,Breakfast,1
Rose Powell,Vegetarian,Snacks,1
Audrey Perez,Vegetarian,Dinner,1
Anita Kerr,Non-Vegetarian,Lunch,1
Megan Alvarez,Non-Vegetarian,Breakfast,1
Angel Adams,Non-Vegetarian,Lunch,1
Alexander Mullins,Vegan,Snacks,1
Maria Jacobs,Vegan,Dinner,1
Maria Jacobs,Vegetarian,Breakfast,1
Maria Jacobs,Vegetarian,Lunch,1
Bobby Perry,Vegetarian,Breakfast,1
Andrew Lawson,Non-Vegetarian,Snacks,1
Derek Potter,Non-Vegetarian,Dinner,1
Derek Potter,Non-Vegetarian,Lunch,1
Derek Potter,Vegan,Lunch,1
Taylor Dean,Vegan,Lunch,1
Jennifer Graham,Non-Vegetarian,Breakfast,1
Jennifer Graham,Non-Vegetarian,Lunch,1
Brian Gonzales,Vegan,Breakfast,1
Brian Gonzales,Vegetarian,Breakfast,1
Cheryl Dillon,Vegan,Breakfast,1
Cheryl Dillon,Vegan,Lunch,1
Cassandra Owens,Non-Vegetarian,Lunch,1
Deborah Smith,Vegan,Lunch,1
Christopher Lozano,Vegetarian,Lunch,1
Julia Madden,Vegetarian,Snacks,1
Alicia Thomas,Vegan,Dinner,1
Alicia Thomas,Vegetarian,Dinner,1
Alicia Thomas,Vegetarian,Snacks,1
Nichole Lewis,Vegan,Breakfast,1
Nichole Lewis,Vegetarian,Dinner,1
David Turner,Vegan,Lunch,1
David Turner,Vegetarian,Dinner,1
Cody Gardner,Vegan,Dinner,1
Cody Gardner,Vegetarian,Lunch,1
Jade Jackson,Vegetarian,Breakfast,1
Wesley Thompson,Non-Vegetarian,Lunch,1
Wesley Thompson,Non-Vegetarian,Snacks,1
Wesley Thompson,Vegetarian,Lunch,1
Scott Brown,Vegan,Dinner,1
Charles Davidson,Vegan,Dinner,1
Charles Davidson,Vegan,Lunch,1
Charles Davidson,Vegetarian,Breakfast,1
Patricia Smith,Vegetarian,Dinner,1
Nicholas Smith,Non-Vegetarian,Lunch,1
Juan Spencer,Vegetarian,Snacks,1
Jessica Grant,Non-Vegetarian,Breakfast,1
Jessica Grant,Vegetarian,Snacks,1
Tammy Walker MD,Vegan,Snacks,1
Tammy Walker MD,Vegetarian,Breakfast,1
Eric Ryan DDS,Vegan,Breakfast,1
Alvin West,Vegan,Dinner,1
Alvin West,Vegan,Snacks,1
Allison Bray,Non-Vegetarian,Breakfast,1
Allison Bray,Non-Vegetarian,Snacks,1
Allison Bray,Vegetarian,Breakfast,1
Timothy Patel DVM,Vegetarian,Breakfast,1
Michael Walls,Non-Vegetarian,Breakfast,1
Michael Walls,Vegan,Snacks,1
Michael Walls,Vegetarian,Snacks,1
Nathan May,Vegan,Lunch,1
Nathan May,Vegetarian,Snacks,1
Brian Cowan,Vegetarian,Snacks,1
Nancy Silva,Non-Vegetarian,Lunch,1
Melissa Little,Vegetarian,Dinner,1
Nicole Reid,Non-Vegetarian,Snacks,1
Daniel Burton,Non-Vegetarian,Breakfast,1
Daniel Burton,Vegetarian,Dinner,1
Daniel Burton,Vegetarian,Lunch,1
Karen Cruz,Vegetarian,Breakfast,1
Karen Cruz,Vegetarian,Snacks,1
Victor Reyes,Non-Vegetarian,Snacks,1
Trevor Wilson,Non-Vegetarian,Snacks,1
Trevor Wilson,Vegan,Snacks,1
Jessica Morris,Vegetarian,Dinner,1
Jessica Morris,Vegetarian,Snacks,1
Rachel Nguyen,Vegetarian,Breakfast,1
Brady Lopez,Vegetarian,Lunch,1
Brady Lopez,Vegetarian,Snacks,1
Jonathan Young,Non-Vegetarian,Snacks,1
Jonathan Young,Vegetarian,Breakfast,1
Jonathan Young,Vegetarian,Snacks,1
Mark Lee,Vegan,Breakfast,1
Matthew Tran,Non-Vegetarian,Lunch,1
Matthew Tran,Vegan,Snacks,1
Matthew Tran,Vegetarian,Breakfast,1
Jasmine Robertson,Non-Vegetarian,Dinner,1
Drew Cline,Vegan,Lunch,1
Marie Andrade,Non-Vegetarian,Dinner,1
Tammy Smith,Non-Vegetarian,Lunch,1
Heather Brown,Non-Vegetarian,Snacks,1
Heather Brown,Vegetarian,Dinner,1
Hayden Hill,Non-Vegetarian,Lunch,1
Sarah Carter,Non-Vegetarian,Snacks,1
